"Fast|HSDir|Running|Stable|V2Dir|Valid","159.69.71.58","9001"
"Exit|Fast|Running|Stable|Valid","192.42.116.217","9003"
"Fast|Guard|Running|Stable|V2Dir|Valid","158.69.204.36","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","207.244.78.230","443"
"Exit|Fast|HSDir|Running|Stable|V2Dir|Valid","199.249.230.79","443"
"BadExit|Fast|MiddleOnly|Running|Stable|Valid","107.189.12.30","7777"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","66.175.235.244","443"
"Fast|Running|V2Dir|Valid","77.109.152.11","143"
"Fast|Running|V2Dir|Valid","75.223.3.8","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","95.216.22.87","4080"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","198.251.88.142","443"
"Fast|Running|Valid","149.28.126.255","9001"
"Exit|Fast|Running|Stable|V2Dir|Valid","187.20.32.101","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","185.229.90.81","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","190.211.254.210","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","95.217.62.4","9001"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","185.220.101.51","10051"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","192.42.116.17","443"
"Fast|HSDir|Running|Stable|V2Dir|Valid","146.19.213.39","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","81.169.237.83","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","85.214.49.28","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","193.218.118.180","9001"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","144.172.118.34","42069"
"Fast|Guard|Running|Stable|V2Dir|Valid","51.158.187.110","443"
"Running|Valid","195.240.44.134","9002"
"Exit|Fast|Running|Stable|Valid","192.42.116.199","9002"
"Fast|Guard|Running|Stable|V2Dir|Valid","91.132.145.129","443"
"Fast|Guard|Running|Stable|V2Dir|Valid","207.244.238.230","9201"
"Fast|HSDir|Running|Stable|V2Dir|Valid","85.239.34.24","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","46.22.212.230","443"
"Fast|Running|Stable|Valid","95.216.136.46","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","213.175.95.220","443"
"Fast|HSDir|Running|Stable|V2Dir|Valid","91.213.233.138","443"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","23.128.248.20","443"
"Exit|Fast|Running|Stable|Valid","185.220.101.29","9001"
"Fast|Running|Stable|Valid","185.206.146.238","9001"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","185.195.71.9","443"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","95.214.54.97","5118"
"Fast|Running|V2Dir|Valid","80.13.139.249","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","150.230.20.28","9001"
"Fast|Running|Stable|V2Dir|Valid","83.79.219.245","9001"
"Exit|Fast|Guard|Running|Stable|V2Dir|Valid","2.58.56.101","9100"
"Fast|Guard|Running|Stable|V2Dir|Valid","193.56.240.73","443"
"Running|Stable|V2Dir|Valid","109.236.83.11","46810"
"Fast|Guard|Running|Stable|V2Dir|Valid","205.185.113.66","443"
"Fast|HSDir|Running|Stable|V2Dir|Valid","178.39.46.49","9847"
"Fast|Guard|Running|Stable|V2Dir|Valid","194.163.147.235","19001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","185.196.21.125","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","121.50.43.135","443"
"Fast|Running|Stable|V2Dir|Valid","129.154.227.10","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","144.76.86.5","8080"
"Fast|Running|V2Dir|Valid","195.52.55.98","9001"
"Fast|HSDir|Running|Stable|V2Dir|Valid","193.135.10.219","59999"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","192.18.159.101","9001"
"Fast|HSDir|Running|Stable|V2Dir|Valid","94.199.217.225","443"
"Fast|HSDir|Running|Stable|V2Dir|Valid","37.48.120.47","110"
"Exit|Fast|Guard|Running|Stable|V2Dir|Valid","23.128.248.11","443"
"Exit|Fast|Guard|Running|Stable|V2Dir|Valid","85.93.218.204","9001"
"Fast|Running|Stable|V2Dir|Valid","135.125.250.251","443"
"Exit|Fast|HSDir|Running|Stable|V2Dir|Valid","185.220.101.177","11177"
"Fast|Guard|Running|Stable|V2Dir|Valid","163.172.184.32","443"
"Fast|Running|V2Dir|Valid","77.254.49.54","9001"
"Fast|Running|V2Dir|Valid","104.200.17.42","443"
"Fast|HSDir|Running|Stable|V2Dir|Valid","45.41.204.203","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","85.146.92.119","9001"
"Fast|Running|Stable|V2Dir|Valid","78.132.38.232","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","102.130.113.42","9001"
"Fast|Running|Stable|Valid","107.173.166.119","9001"
